Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Peggy Carter,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Sharon Carter,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
America Chavez,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Helen Cho,Women,POC,2015,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Clea,Women,White,2022,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
P. Cleary,Men,POC,2021,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Curt Connors,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Phil Coulson,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Darren Cross,Men,White,2015,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Carol Danvers,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Dave,Men,POC,2015,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Aaron Davis,Men,POC,2017,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Valentina Allegra de Fontaine,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Death Dealer,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Rhomann Dey,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Max Dillon,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Dormammu,Men,White,2016,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Drax,Men,POC,2014,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
